iter	Logloss
0	0.6780370683
1	0.6659668803
2	0.6532193576
3	0.6448292206
4	0.636313752
5	0.6273530102
6	0.6221374573
7	0.6127986417
8	0.601925416
9	0.595919644
10	0.5834033057
11	0.574696764
12	0.5660506742
13	0.5572885053
14	0.5503397772
15	0.5466126014
16	0.5388367626
17	0.5313960586
18	0.5233238541
19	0.5153390361
20	0.5069071519
21	0.4991610202
22	0.4932653509
23	0.4861047903
24	0.4764321734
25	0.4725609182
26	0.4652483547
27	0.4596404416
28	0.4541939262
29	0.4470066008
30	0.4423331464
31	0.4394751949
32	0.4358266586
33	0.4319407409
34	0.4253273847
35	0.4194038663
36	0.4149522655
37	0.4115759196
38	0.4086177205
39	0.4054383319
40	0.4030142644
41	0.4021535551
42	0.4005780087
43	0.3966121298
44	0.3924895414
45	0.3898062814
46	0.3875151363
47	0.3848409549
48	0.3802192854
49	0.3766851243
50	0.3738164525
51	0.3717632121
52	0.3697315961
53	0.3669693408
54	0.3646925787
55	0.362269232
56	0.3580577151
57	0.3559981047
58	0.3534734178
59	0.3507920127
60	0.3488644426
61	0.3450045833
62	0.3430692955
63	0.3405936008
64	0.3390664165
65	0.335640777
66	0.3335404927
67	0.3314527635
68	0.3297183937
69	0.3269361023
70	0.3257625291
71	0.3238956416
72	0.3203538057
73	0.3185151034
74	0.3161034226
75	0.3136747779
76	0.3105198868
77	0.3084686244
78	0.3054111551
79	0.3031654432
80	0.3003405274
81	0.2990034927
82	0.2976322795
83	0.294902711
84	0.2928509823
85	0.2907893228
86	0.2875821235
87	0.2859512361
88	0.2841349297
89	0.2824624718
90	0.2810648649
91	0.2786253437
92	0.2764481569
93	0.2748310776
94	0.2728324079
95	0.2714011289
96	0.2688724321
97	0.2672596716
98	0.2660729465
99	0.2648958397
100	0.2626268336
101	0.2603740621
102	0.259367159
103	0.2578548465
104	0.256572854
105	0.2548772205
106	0.2524701567
107	0.2503534994
108	0.2481953514
109	0.2460096732
110	0.2441174996
111	0.2420185885
112	0.2410956448
113	0.2397154177
114	0.2380527517
115	0.2359437384
116	0.2347811019
117	0.2329432328
118	0.2318563088
119	0.2312397988
