iter	Logloss
0	0.6908583961
1	0.6889031748
2	0.6868918422
3	0.6844476572
4	0.6826634514
5	0.6810001946
6	0.6793230928
7	0.6780457908
8	0.6766490022
9	0.6753817915
10	0.6735188542
11	0.6722920086
12	0.6704199063
13	0.6693104509
14	0.6683315484
15	0.6666462566
16	0.6655931564
17	0.664465371
18	0.6632244854
19	0.6622542604
20	0.6613020729
21	0.6599865508
22	0.6591633075
23	0.6585176608
24	0.6575668384
25	0.6568818016
26	0.6563282927
27	0.655171501
28	0.6542538286
29	0.6532160847
30	0.6522437147
31	0.651267396
32	0.6505947905
33	0.6496821882
34	0.6490676441
35	0.6479958239
36	0.647449725
37	0.6467337806
38	0.6464712125
39	0.6456636666
40	0.6446827654
41	0.6442154954
42	0.6431140839
43	0.6423495357
44	0.6417473254
45	0.6408511031
46	0.6401829826
47	0.6397286315
48	0.6390876648
49	0.6380947223
50	0.6376099998
51	0.6369082417
52	0.636711535
53	0.6358996504
54	0.6357042599
55	0.6350050369
56	0.6343568065
57	0.6341185158
58	0.6335563294
59	0.6329099027
