iter	Passed	Remaining
0	0	76
1	1	76
2	1	71
3	2	75
4	3	76
5	3	74
6	4	75
7	6	85
8	6	81
9	7	80
10	7	78
11	8	75
12	8	73
13	9	72
14	10	70
15	10	69
16	11	68
17	11	67
18	12	65
19	12	64
20	13	63
21	14	63
22	14	62
23	15	61
24	15	60
25	16	59
26	17	59
27	18	59
28	18	59
29	19	59
30	20	58
31	21	57
32	21	56
33	22	56
34	22	55
35	23	54
36	23	53
37	24	52
38	25	51
39	25	51
40	26	50
41	26	49
42	27	49
43	28	48
44	28	47
45	29	46
46	29	46
47	30	45
48	30	44
49	31	44
50	32	43
51	33	43
52	34	43
53	34	42
54	35	41
55	35	40
56	35	39
57	36	38
58	36	37
59	36	36
60	37	36
61	37	35
62	37	34
63	38	33
64	38	32
65	38	31
66	39	31
67	39	30
68	40	29
69	40	28
70	40	28
71	40	27
72	41	26
73	41	25
74	41	25
75	42	24
76	42	23
77	42	23
78	43	22
79	43	21
80	44	21
81	44	20
82	44	19
83	45	19
84	45	18
85	45	18
86	46	17
87	46	16
88	46	16
89	47	15
90	48	15
91	48	14
92	48	14
93	49	13
94	49	13
95	49	12
96	50	11
97	50	11
98	50	10
99	51	10
100	51	9
101	51	9
102	52	8
103	52	8
104	52	7
105	53	7
106	53	6
107	53	5
108	54	5
109	54	4
110	54	4
111	55	3
112	55	3
113	55	2
114	56	2
115	56	1
116	56	1
117	57	0
118	57	0
119	57	0
