iter	Passed	Remaining
0	1	112
1	3	97
2	4	90
3	6	86
4	7	83
5	8	80
6	10	78
7	11	76
8	13	76
9	15	75
10	16	73
11	17	71
12	19	69
13	20	67
14	22	66
15	23	64
16	24	62
17	26	61
18	27	59
19	29	58
20	30	57
21	32	56
22	33	54
23	35	53
24	36	51
25	38	50
26	39	48
27	41	47
28	42	45
29	44	44
30	45	42
31	47	41
32	48	39
33	50	38
34	51	36
35	52	35
36	54	33
37	55	32
38	57	30
39	58	29
40	60	28
41	62	26
42	63	25
43	64	23
44	66	22
45	67	20
46	69	19
47	70	17
48	72	16
49	73	14
50	74	13
51	76	11
52	77	10
53	79	8
54	80	7
55	82	5
56	83	4
57	85	2
58	86	1
59	88	0
